Sort dictionary `dict1` by value in ascending order,"sorted(dict1, key=dict1.get)","{'dict1': ['dict']}",<class 'list'>
Sort dictionary `d` by value in descending order,"sorted(d, key=d.get, reverse=True)","{'d': ['dict']}",<class 'list'>
Sort dictionary `d` by value in ascending order,"sorted(list(d.items()), key=(lambda x: x[1]))","{'d': ['dict']}",<class 'list'>
move the last item in list `a` to the beginning,a = a[-1:] + a[:-1],"{'a': ['list[int]', 'list[str]', 'list[bool]']}",<class 'str'> 
Parse DateTime object `datetimevariable` using format '%Y-%m-%d',datetimevariable.strftime('%Y-%m-%d'),'datetimevariable': ['datetime.datetime'],<class 'str'>
Normalize line ends in a string 'mixed',"mixed.replace('\r\n', '\n').replace('\r', '\n')","{'mixed': ['str', 'int-str']}",<class 'str'>
index a list `L` with another list `Idx`,T = [L[i] for i in Idx],"{'Idx': ['list[int]', 'list[str]', 'list[bool]'], 'L': ['list[int]', 'list[str]', 'list[bool]']}",<class 'list'>
Get a list of lists with summing the values of the second element from each list of lists `data`,[[sum([x[1] for x in i])] for i in data],"{'data': ['nested-list']}",<class 'list'>
summing the second item in a list of lists of lists,[sum([x[1] for x in i]) for i in data],"{'data': ['nested-list']}",<class 'list'>
return a DateTime object with the current UTC date,today = datetime.datetime.utcnow().date(),{},<class 'datetime.date'>
create a list containing the multiplication of each elements at the same index of list `lista` and list `listb`,"[(a * b) for a, b in zip(lista, listb)]","{'lista': ['list[int]'], 'listb': ['list[int]']}",<class 'list'>
fetch smilies matching regex pattern '(?::|;|=)(?:-)?(?:\\)|\\(|D|P)' in string `s`,"re.findall('(?::|;|=)(?:-)?(?:\\)|\\(|D|P)', s)","{'s': ['str', 'int-str']}",<class 'list'>
match the pattern '[:;][)(](?![)(])' to the string `str`,"re.match('[:;][)(](?![)(])', str)","{'str': ['str', 'int-str']}",<class 'NoneType'>
create a list `listofzeros` of `n` zeros,listofzeros = [0] * n,"{'n': ['int']}",<class 'list'>
decode the string 'stringnamehere'  to UTF-8,"stringnamehere.decode('utf-8', 'ignore')","{'stringnamehere': ['bytestr']}",<class 'str'>
Match regex pattern '((?:A|B|C)D)' on string 'BDE',"re.findall('((?:A|B|C)D)', 'BDE')",{},<class 'list'>
Create a key `key` if it does not exist in dict `dic` and append element `value` to value.,"dic.setdefault(key, []).append(value)","{'dic': ['dict']}",<class 'dict'>
extend dictionary `a` with key/value pairs of dictionary `b`,a.update(b),"{'a': ['dict'], 'b': ['dict']}",<class 'NoneType'>
removing key values pairs with key 'mykey1' from a list of dictionaries `mylist`,"[{k: v for k, v in d.items() if k != 'mykey1'} for d in mylist]","{'myList': ['list[dict]'}",<class 'list'>
Removing key values pairs from a list of dictionaries,"[dict((k, v) for k, v in d.items() if k != 'mykey1') for d in mylist]","{'myList': ['list[dict]'}",<class 'list'>
create a list of values from the dictionary `programs` that have a key with a case insensitive match to 'new york',"[value for key, value in list(programs.items()) if 'new york' in key.lower()]","{'programs': ['str-dict']}",<class 'list'>
get all digits in a string `s` after a '[' character,"re.findall('\\d+(?=[^[]+$)', s)","{'s': ['str', 'int-str']}",<class 'list'>
find out the number of non-matched elements at the same index of list `a` and list `b`,"sum(1 for i, j in zip(a, b) if i != j)","{'a': ['list[int]', 'list[str]','list[bool]'], 'b': ['list[int]', 'list[str]','list[bool]']}",<class 'int'>
make all keys lowercase in dictionary `d`,"d = {(a.lower(), b): v for (a, b), v in list(d.items())}","{'d': ['str-dict']}",<class 'dict'>
sort list `list_` based on first element of each tuple and by the length of the second element of each tuple,"list_.sort(key=lambda x: [x[0], len(x[1]), x[1]])","{'list_': ['list[tuple]']}",<class 'NoneType'>
trim whitespace in string `s`,s.strip(),"{'s': ['str', 'int-str']}",<class 'str'>
trim whitespace (including tabs) in `s` on the left side,s = s.lstrip(),"{'s': ['str', 'int-str']}",<class 'str'>
trim whitespace (including tabs) in `s` on the right side,s = s.rstrip(),"{'s': ['str', 'int-str']}",<class 'str'>
trim characters ' \t\n\r' in `s`,s = s.strip(' \t\n\r'),"{'s': ['str', 'int-str']}",<class 'str'>
trim whitespaces (including tabs) in string `s`,"(re.sub('[\\s+]', '', s))","{'s': ['str', 'int-str']}",<class 'str'>
replace the last occurence of an expression '</div>' with '</bad>' in a string `s`,"re.sub('(.*)</div>', '\\1</bad>', s)","{'s': ['str', 'int-str']}",<class 'str'>
get the maximum of 'salary' and 'bonus' values in a dictionary,"(max(d, key=lambda x: (d[x]['salary'], d[x]['bonus'])))","{'d': ['nested-dict']}",<class 'int'>
split string 'fooxyzbar' based on case-insensitive matching using string 'XYZ',"re.compile('XYZ', re.IGNORECASE).split('fooxyzbar')",{},<class 'list'>
get list of sums of neighboring integers in string `example`,"[sum(map(int, s)) for s in example.split()]","{'example': ['int-str']}",<class 'list'>
Get all the keys from dictionary `y` whose value is `1`,[i for i in y if y[i] == 1],"{'y': ['dict']}",<class 'list'>
converting byte string `c` in unicode string,c.decode('unicode_escape'),"{'c': ['bytestr']}",<class 'str'>
"add key ""item3"" and value ""3"" to dictionary `default_data `",default_data['item3'] = 3,"{'default_data': ['dict']}",<class 'int'>
"add key ""item3"" and value ""3"" to dictionary `default_data `","default_data.update({'item3': 3, })","{'default_data': ['dict']}",<class 'NoneType'>
"add key value pairs 'item4' , 4 and 'item5' , 5 to dictionary `default_data`","default_data.update({'item4': 4, 'item5': 5, })","{'default_data': ['dict']}",<class 'NoneType'>
Get the first and last 3 elements of list `l`,l[:3] + l[-3:],"{'l': ['list[int]', 'list[str]', 'list[bool]']}",<class 'str'>
"For each index `x` from 0 to 3, append the element at index `x` of list `b` to the list at index `x` of list a.",[a[x].append(b[x]) for x in range(3)],"{'a': ['list[int]', 'list[str]', 'list[bool]'], 'b': ['list[int]', 'list[str]', 'list[bool]']}",<class 'list'>
add character '@' after word 'get' in string `text`,"text = re.sub('(\\bget\\b)', '\\1@', text)","{'text': ['str', 'int-str']}",<class 'str'>
"update dictionary `b`, overwriting values where keys are identical, with contents of dictionary `d`",b.update(d),"{'d': ['dict'], 'b': ['dict']}",<class 'NoneType'>
add unicode string '1' to UTF-8 decoded string '\xc2\xa3',('\xc2\xa3' + '1'),{},<class 'str'>
lower-case the string obtained by replacing the occurrences of regex pattern '(?<=[a-z])([A-Z])' in string `s` with replacement '-\\1',"re.sub('(?<=[a-z])([A-Z])', '-\\1', s).lower()","{'s': ['str', 'int-str']}",<class 'str'>
format a string `num` using string formatting,"""""""{0:.3g}"""""".format(num)","{'num': ['str', 'int-str']}",<class 'str'>
convert radians 1 to degrees,math.cos(math.radians(1)),{},<class 'float'>
count the number of integers in list `a`,"sum(isinstance(x, int) for x in a)","{'a': ['list[int]', 'list[bool]', 'list[str]']}",<class 'int'>
replacing  '\u200b' with '*' in a string  using regular expressions,"'used\u200b'.replace('\u200b', '*')",{},<class 'str'>
sum of squares values in a list `l`,sum(i * i for i in l),"{'l': ['list[int]']}",<class 'int'>
calculate the sum of the squares of each value in list `l`,"sum(map(lambda x: x * x, l))","{'l': ['list[int]']}",<class 'int'>
Create a dictionary `d` from list `iterable`,"d = dict(((key, value) for (key, value) in iterable))","{'iterable': ['list[tuple]']}",<class 'dict'>
Create a dictionary `d` from list `iterable`,"d = {key: value for (key, value) in iterable}","{'iterable': ['list[tuple]']}",<class 'dict'>
Create a dictionary `d` from list of key value pairs `iterable`,"d = {k: v for (k, v) in iterable}","{'iterable': ['list[tuple]']}",<class 'dict'>
return a random word from a word list 'words',(random.choice(words)),"{'words': ['list[str]']}",<class 'str'>
Find a max value of the key `count` in a nested dictionary `d`,"max(d, key=lambda x: d[x]['count'])","{'d': ['nested-dict']}",<class 'int'>
"get list of string elements in string `data` delimited by commas, putting `0` in place of empty strings","[(int(x) if x else 0) for x in data.split(',')]","{'data': ['str', 'int-str']}",<class 'list'>
"split string `s` into a list of strings based on ',' then replace empty strings with zero",""""""","""""".join(x or '0' for x in s.split(','))","{'s': ['str', 'int-str']}",<class 'str'>
check if date `yourdatetime` is equal to today's date,yourdatetime.date() == datetime.datetime.today().date(),"{'yourdatetime': ['datetime.datetime']}",<class 'bool'>
print bold text 'Hello',('\x1b[1m' + 'Hello'),{},<class 'str'>
remove 20 symbols in front of '.' in string 'unique12345678901234567890.mkv',"re.sub('.{20}(.mkv)', '\\1', 'unique12345678901234567890.mkv')",{},<class 'str'>
"Define a list with string values `['a', 'c', 'b', 'obj']`","['a', 'c', 'b', 'obj']",{},<class 'list'>
substitute multiple whitespace with single whitespace in string `mystring`,""""""" """""".join(mystring.split())","{'mystring': ['str', 'int-str']}",<class 'str'>
print a floating point number 2.345e-67 without any truncation,('{:.100f}'.format(2.345e-67)),{},<class 'str'>
Check if key 'key1' in `dict`,('key1' in dict),"{'dict': ['dict']}",<class 'bool'>
Check if key 'a' in `d`,('a' in d),"{'d': ['dict']}",<class 'bool'>
Check if key 'c' in `d`,('c' in d),"{'d': ['dict']}",<class 'bool'>
"insert ' ' between every three digit before '.' and replace ',' with '.' in 12345678.46","format(12345678.46, ',').replace(',', ' ').replace('.', ',')",{},<class 'str'>
reverse sort items in default dictionary `cityPopulation` by the third item in each key's list of values,"sorted(iter(cityPopulation.items()), key=lambda k_v: k_v[1][2], reverse=True)",{'cityPopulation': ['dict']},<class 'list'>
Sort dictionary `u` in ascending order based on second elements of its values,"sorted(list(u.items()), key=lambda v: v[1])","{'u': ['dict']}",<class 'list'>
reverse sort dictionary `d` based on its values,"sorted(list(d.items()), key=lambda k_v: k_v[1], reverse=True)","{'d': ['dict']}",<class 'list'>
sorting a defaultdict `d` by value,"sorted(list(d.items()), key=lambda k_v: k_v[1])","{'d': ['dict']}",<class 'list'>
divide the values with same keys of two dictionary `d1` and `d2`,{k: (float(d2[k]) / d1[k]) for k in d2},"{'d2': ['int-dict'], 'd1': ['int-dict']}",<class 'dict'>
divide the value for each key `k` in dict `d2` by the value for the same key `k` in dict `d1`,{k: (d2[k] / d1[k]) for k in list(d1.keys()) & d2},"{'d2': ['int-dict'], 'd1': ['int-dict']}",<class 'dict'>
divide values associated with each key in dictionary `d1` from values associated with the same key in dictionary `d2`,"dict((k, float(d2[k]) / d1[k]) for k in d2)","{'d2': ['int-dict'], 'd1': ['int-dict']}",<class 'dict'>
remove a key 'key' from a dictionary `my_dict`,"my_dict.pop('key', None)","{'my_dict': ['dict']}",<class 'AnyType'>
"remove white spaces from the end of string ""    xyz     ""","""""""    xyz     """""".rstrip()",{},<class 'str'>
sort list `lst` in descending order based on the second item of each tuple in it,"lst.sort(key=lambda x: x[2], reverse=True)",{'lst': ['list[tuple]']},<class 'NoneType'>
How to find all occurrences of an element in a list?,"indices = [i for i, x in enumerate(my_list) if x == 'whatever']","{'my_list': ['list[int]', 'list[str]', 'list[bool]']}",<class 'list'>
count the number of trailing question marks in string `my_text`,len(my_text) - len(my_text.rstrip('?')),"{'my_text': ['str', 'int-str']}",<class 'int'>
switch positions of each two adjacent characters in string `a`,"(''.join(''.join(i) for i in zip(a2, a1)) + a[-1] if len(a) % 2 else '')","{'a': ['str', 'int-str']}",<class 'str'>
Convert list of booleans `walls` into a hex string,"hex(int(''.join([str(int(b)) for b in walls]), 2))","{'walls': ['list[bool]']}",<class 'str'>
convert the sum of list `walls` into a hex presentation,"hex(sum(b << i for i, b in enumerate(reversed(walls))))","{'walls': ['list[bool]']}",<class 'str'>
print a string using multiple strings `name` and `score`,"('Total score for %s is %s  ' % (name, score))","{'name': ['str', 'int-str'], 'score': ['str', 'int-str']}",<class 'str'>
"find all digits in string '6,7)' and put them to a list","re.findall('\\d|\\d,\\d\\)', '6,7)')",{},<class 'list'>
Write a regex statement to match 'lol' to 'lolllll'.,"re.sub('l+', 'l', 'lollll')",{},<class 'str'>
decode escape sequences in string `myString`,myString.decode('string_escape'),"{'myString': ['bytestr']}",<class 'str'>
Find all keys from a dictionary `d` whose values are `desired_value`,"[k for k, v in d.items() if v == desired_value]","{'d': ['dict']}",<class 'list'>
create a set containing all keys' names from dictionary `LoD`,{k for d in LoD for k in list(d.keys())},"{'LoD': ['list[dict]'}",<class 'set'>
create a set containing all keys names from list of dictionaries `LoD`,set([i for s in [list(d.keys()) for d in LoD] for i in s]),"{'LoD': ['list[dict]'}",<class 'set'>
extract all keys from a list of dictionaries `LoD`,[i for s in [list(d.keys()) for d in LoD] for i in s],"{'LoD': ['list[dict]'}",<class 'list'>
unpack keys and values of a dictionary `d` into two lists,"keys, values = zip(*list(d.items()))","{'d': ['dict']}",<class 'zip'>
convert a string `s` containing a decimal to an integer,int(Decimal(s)),"{'s': ['int-str']}",<class 'int>
Convert a string to integer with decimal in Python,int(s.split('.')[0]),"{'s': ['int-str']}",<class 'int>
make a row-by-row copy `y` of array `x`,y = [row[:] for row in x],"{'x': ['nested-list']}",<class 'list'>
get a list of items from the list `some_list` that contain string 'abc',matching = [s for s in some_list if 'abc' in s],"{'some_list': ['list[str]']}",<class 'list'>
How do I create a LIST of unique random numbers?,"random.sample(list(range(100)), 10)",{},<class 'list'>
split a string `s` on last delimiter,"s.rsplit(',', 1)","{'s': ['str', 'int-str']}",<class 'list'>
Check if all elements in list `lst` are tupples of long and int,"all(isinstance(x, int) for x in lst)","{'lst': ['list[int]', 'list[str]', 'list[bool]']}",<class 'bool'>
check if all elements in a list 'lst' are the same type 'int',"all(isinstance(x, int) for x in lst)","{'lst': ['list[int]', 'list[str]', 'list[bool]']}",<class 'bool'>
strip a string `line` of all carriage returns and newlines,line.strip(),"{'line': ['str', 'int-str']}",<class 'str'>
convert Date object `dateobject` into a DateTime object,"datetime.datetime.combine(dateobject, datetime.time())","{'dateobject': ['datetime.datetime']}",<class 'datetime.datetime'>
check if any item from list `b` is in list `a`,(any(x in a for x in b)),"{'b': ['list[int]', 'list[str]', 'list[bool]'], 'a': ['list[int]', 'list[str]', 'list[bool]']}",<class 'bool'>
Remove anything in parenthesis from string `item` with a regex,"item = re.sub(' ?\\([^)]+\\)', '', item)","{'item': ['str', 'int-str']}",<class 'str'>
Remove word characters in parenthesis from string `item` with a regex,"item = re.sub(' ?\\(\\w+\\)', '', item)","{'item': ['str', 'int-str']}",<class 'str'>
Remove all data inside parenthesis in string `item`,"item = re.sub(' \\(\\w+\\)', '', item)","{'item': ['str', 'int-str']}",<class 'str'>
check if any elements in one list `list1` are in another list `list2`,len(set(list1).intersection(list2)) > 0,"{'list1': ['list[int]', 'list[str]', 'list[bool]'], 'list2': ['list[int]', 'list[str]', 'list[bool]']}",<class 'bool'>
convert hex string `s` to decimal,"i = int(s, 16)","{'s': ['int-str']}",<class 'int'>
"convert hex string ""0xff"" to decimal","int('0xff', 16)",{},<class 'int'>
"convert hex string ""FFFF"" to decimal","int('FFFF', 16)",{},<class 'int'>
convert hex string '0xdeadbeef' to decimal,ast.literal_eval('0xdeadbeef'),{},<class 'int'>
convert hex string 'deadbeef' to decimal,"int('deadbeef', 16)",{},<class 'int'>
replace non-ascii chars from a unicode string u'm\xfasica',"unicodedata.normalize('NFKD', 'm\xfasica').encode('ascii', 'ignore')",{},<class 'bytes'>
print a character that has unicode value `\u25b2`,('\u25b2'.encode('utf-8')),{},<class 'bytes'>
"Create a dictionary from string `s` separated by `-` and `,`","dict((k, int(v)) for k, v in (e.split(' - ') for e in s.split(',')))","{'s': ['str', 'int-str']}",<class 'dict'>
"check if all elements in a tuple `(1, 6)` are in another `(1, 2, 3, 4, 5)`","all(i in (1, 2, 3, 4, 5) for i in (1, 6))",{},<class 'bool'>
right align string `mystring` with a width of 7,"""""""{:>7s}"""""".format(mystring)","{'mystring': ['str', 'int-str']}",<class 'str'>
"remove all values within one list `[2, 3, 7]` from another list `a`","[x for x in a if x not in [2, 3, 7]]","{'a': ['list[int]', 'list[str]', 'list[bool]']}",<class 'list'>
"remove the punctuation '!', '.', ':' from a string `asking`","out = ''.join(c for c in asking if c not in ('!', '.', ':'))","{'asking': ['str', 'int-str']}",<class 'str'>
empty a list `lst`,del lst[:],"{'lst': ['list[int]', 'list[str]', 'list[bool]']}",<class 'NoneType'>
empty a list `lst`,del lst1[:],"{'lst1': ['list[int]', 'list[str]', 'list[bool]']}",<class 'NoneType'>
empty a list `lst`,lst[:] = [],"{'lst': ['list[int]', 'list[str]', 'list[bool]']}",<class 'list'>
empty a list `alist`,alist[:] = [],"{'alist': ['list[int]', 'list[str]', 'list[bool]']}",<class 'list'>
create a list containing the subtraction of each item in list `L` from the item prior to it,"[(y - x) for x, y in zip(L, L[1:])]","{'L': ['list[int]']}",<class 'list'>
"convert a list of characters `['a', 'b', 'c', 'd']` into a string",""""""""""""".join(['a', 'b', 'c', 'd'])",{},<class 'str'>
sort dictionary `d` by key,od = collections.OrderedDict(sorted(d.items())),"{'d': ['dict']}",<class 'collections.OrderedDict'>
sort a dictionary `d` by key,"OrderedDict(sorted(list(d.items()), key=(lambda t: t[0])))","{'d': ['dict']}",<class 'collections.OrderedDict'>
replace everything that is not an alphabet or a digit with '' in 's'.,"re.sub('[\\W_]+', '', s)","{'s': ['str', 'int-str']}",<class 'str'>
create a list of aggregation of each element from list `l2` to all elements of list `l1`,[(x + y) for x in l2 for y in l1],"{'l1': ['list[int]'], 'l2': ['list[int]']}",<class 'list'>
convert string `x'  to dictionary splitted by `=` using list comprehension,dict([x.split('=') for x in s.split()]),"{'s': ['str', 'int-str']}",<class 'dict'>
remove index 2 element from a list `my_list`,my_list.pop(2),"{'my_list': ['list[int]', 'list[str]', 'list[bool]', 'list[tuple]', 'list[dict]'}","<class 'AnyType'>"
"Delete character ""M"" from a string `s` using python","s = s.replace('M', '')","{'s': ['str', 'int-str']}",<class 'str'>
How to delete a character from a string using python?,"newstr = oldstr.replace('M', '')","{'oldstr': ['str', 'int-str']}",<class 'str'>
get the sum of the products of each pair of corresponding elements in lists `a` and `b`,"sum(x * y for x, y in zip(a, b))","{'a': ['list[int]'], 'b': ['list[int]']}",<class 'int'>
sum the products of each two elements at the same index of list `a` and list `b`,"sum(x * y for x, y in list(zip(a, b)))","{'a': ['list[int]'], 'b': ['list[int]']}",<class 'list'>
sum the product of each two items at the same index of list `a` and list `b`,"sum(i * j for i, j in zip(a, b))","{'a': ['list[int]'], 'b': ['list[int]']}",<class 'int'>
sum the product of elements of two lists named `a` and `b`,"sum(x * y for x, y in list(zip(a, b)))","{'a': ['list[int]'], 'b': ['list[int]']}",<class 'int'>
Add 1 to each integer value in list `my_list`,new_list = [(x + 1) for x in my_list],"{'my_list': ['list[int]']}",<class 'list'>
get a list of all items in list `j` with values greater than `5`,[x for x in j if x >= 5],"{'j': ['list[int]']}",<class 'list'>
split strings in list `l` on the first occurring tab `\t` and enter only the first resulting substring in a new list,"[i.split('\t', 1)[0] for i in l]","{'l': ['list[str]']}",<class 'list'>
Split each string in list `myList` on the tab character,myList = [i.split('\t')[0] for i in myList],"{'myList': ['list[str]']}",<class 'list'>
Sum numbers in a list 'your_list',sum(your_list),"{'your_list': ['list[int]']}",<class 'int'>
Compose keys from dictionary `d1` with respective values in dictionary `d2`,"result = {k: d2.get(v) for k, v in list(d1.items())}","{'d2': ['dict'], 'd1': ['dict']}",<class 'dict'>
add one day and three hours to the present time from datetime.now(),"datetime.datetime.now() + datetime.timedelta(days=1, hours=3)",{},<class 'datetime.datetime'>
Convert binary string to list of integers using Python,"[int(s[i:i + 3], 2) for i in range(0, len(s), 3)]","{'s': ['bytestr']}",<class 'list'>
switch keys and values in a dictionary `my_dict`,"dict((v, k) for k, v in my_dict.items())","{'my_dict': ['dict']}",<class 'dict'>
sort a list `L` by number after second '.',"(sorted(L, key=lambda x: int(x.split('.')[2])))","{'L': ['list[str]']}",<class 'list'>
"Check if the value of the key ""name"" is ""Test"" in a list of dictionaries `label`",any(d['name'] == 'Test' for d in label),"{'label': ['list[dict]']}",<class 'bool'>
"remove all instances of [1, 1] from list `a`","a[:] = [x for x in a if x != [1, 1]]","{'a': ['nested-list']}",<class 'list'>
"remove all instances of `[1, 1]` from a list `a`","[x for x in a if x != [1, 1]]","{'a': ['nested-list']}",<class 'list'>
"convert a list 'a' to a dictionary where each even element represents the key to the dictionary, and the following odd element is the value","b = {a[i]: a[i + 1] for i in range(0, len(a), 2)}","{'a': ['list[int]', 'list[str]', 'list[bool]']}",<class 'dict'>
check whether elements in list `a` appear only once,len(set(a)) == len(a),"{'a': 'list[int]', 'list[str]', 'list[bool]']}",<class 'bool'>
How to sort a dictionary in python by value when the value is a list and I want to sort it by the first index of that list,"sorted(list(data.items()), key=lambda x: x[1][0])","{'data': ['dict']}",<class 'list'>
randomly switch letters' cases in string `s`,""""""""""""".join(x.upper() if random.randint(0, 1) else x for x in s)","{'s': ['str', 'int-str']}",<class 'str'>
"replace single quote character in string ""didn't"" with empty string ''","""""""didn't"""""".replace(""'"", '')",{},<class 'str'>
remove all whitespace in a string `sentence`,"sentence.replace(' ', '')","{'sentence': ['str', 'int-str']}",<class 'str'>
remove all whitespace in a string `sentence`,"pattern = re.compile('\\s+')\nsentence = re.sub(pattern, '', sentence)","{'sentence': ['str', 'int-str']}",<class '_sre.SRE_Pattern'>
remove whitespace in string `sentence` from beginning and end,sentence.strip(),"{'sentence': ['str', 'int-str']}",<class 'str'>
remove all whitespaces in string `sentence`,"sentence = re.sub('\\s+', '', sentence, flags=re.UNICODE)","{'sentence': ['str', 'int-str']}",<class 'str'>
remove all whitespaces in a string `sentence`,sentence = ''.join(sentence.split()),"{'sentence': ['str', 'int-str']}",<class 'str'>
