text,code,label
get list of duplicated elements in range of 3,"[y for x in range(3) for y in [x, x]]",0
python: dots in the name of variable in a format string,"""""""Name: {0[person.name]}"""""".format({'person.name': 'Joe'})",1
convert date `my_date` to datetime,"datetime.datetime.combine(my_date, datetime.time.min)",4
split string `string` on whitespaces using a generator,"return (x.group(0) for x in re.finditer(""[A-Za-z']+"", string))",1
Unpack each value in list `x` to its placeholder '%' in string '%.2f',""""""", """""".join(['%.2f'] * len(x))",0
match regex pattern '(\\d+(\\.\\d+)?)' with string '3434.35353',"(re.match('(\\d+(\\.\\d+)?)', '3434.35353').group(1))",1
create a list `result` containing elements form list `list_a` if first element of list `list_a` is in list `list_b`,result = [x for x in list_a if x[0] in list_b],0
"generate all possible string permutations of each two elements in list `['hel', 'lo', 'bye']`","([''.join(a) for a in itertools.combinations(['hel', 'lo', 'bye'], 2)])",0
get a list of items form nested list `li` where third element of each item contains string 'ar',[x for x in li if 'ar' in x[2]],0
Sort lists in the list `unsorted_list` by the element at index 3 of each list,unsorted_list.sort(key=lambda x: x[3]),0
Sort dictionary `x` by value in ascending order,"sorted(list(x.items()), key=operator.itemgetter(1))",2
Sort dictionary `dict1` by value in ascending order,"sorted(dict1, key=dict1.get)",2
Sort dictionary `d` by value in descending order,"sorted(d, key=d.get, reverse=True)",2
Sort dictionary `d` by value in ascending order,"sorted(list(d.items()), key=(lambda x: x[1]))",2
move the last item in list `a` to the beginning,a = a[-1:] + a[:-1],0
Parse DateTime object `datetimevariable` using format '%Y-%m-%d',datetimevariable.strftime('%Y-%m-%d'),4
Normalize line ends in a string 'mixed',"mixed.replace('\r\n', '\n').replace('\r', '\n')",1
index a list `L` with another list `Idx`,T = [L[i] for i in Idx],0
Get a list of lists with summing the values of the second element from each list of lists `data`,[[sum([x[1] for x in i])] for i in data],0
summing the second item in a list of lists of lists,[sum([x[1] for x in i]) for i in data],0
return a DateTime object with the current UTC date,today = datetime.datetime.utcnow().date(),4
create a list containing the multiplication of each elements at the same index of list `lista` and list `listb`,"[(a * b) for a, b in zip(lista, listb)]",0
fetch smilies matching regex pattern '(?::|;|=)(?:-)?(?:\\)|\\(|D|P)' in string `s`,"re.findall('(?::|;|=)(?:-)?(?:\\)|\\(|D|P)', s)",1
match the pattern '[:;][)(](?![)(])' to the string `str`,"re.match('[:;][)(](?![)(])', str)",1
create a list `listofzeros` of `n` zeros,listofzeros = [0] * n,3
decode the string 'stringnamehere'  to UTF-8,"stringnamehere.decode('utf-8', 'ignore')",1
Match regex pattern '((?:A|B|C)D)' on string 'BDE',"re.findall('((?:A|B|C)D)', 'BDE')",1
Create a key `key` if it does not exist in dict `dic` and append element `value` to value.,"dic.setdefault(key, []).append(value)",2
extend dictionary `a` with key/value pairs of dictionary `b`,a.update(b),2
removing key values pairs with key 'mykey1' from a list of dictionaries `mylist`,"[{k: v for k, v in d.items() if k != 'mykey1'} for d in mylist]",0
Removing key values pairs from a list of dictionaries,"[dict((k, v) for k, v in d.items() if k != 'mykey1') for d in mylist]",0
create a list of values from the dictionary `programs` that have a key with a case insensitive match to 'new york',"[value for key, value in list(programs.items()) if 'new york' in key.lower()]",2
get all digits in a string `s` after a '[' character,"re.findall('\\d+(?=[^[]+$)', s)",1
find out the number of non-matched elements at the same index of list `a` and list `b`,"sum(1 for i, j in zip(a, b) if i != j)",0
make all keys lowercase in dictionary `d`,"d = {(a.lower(), b): v for (a, b), v in list(d.items())}",2
sort list `list_` based on first element of each tuple and by the length of the second element of each tuple,"list_.sort(key=lambda x: [x[0], len(x[1]), x[1]])",0
trim whitespace in string `s`,s.strip(),1
trim whitespace (including tabs) in `s` on the left side,s = s.lstrip(),1
trim whitespace (including tabs) in `s` on the right side,s = s.rstrip(),1
trim characters ' \t\n\r' in `s`,s = s.strip(' \t\n\r'),1
trim whitespaces (including tabs) in string `s`,"(re.sub('[\\s+]', '', s))",1
replace the last occurence of an expression '</div>' with '</bad>' in a string `s`,"re.sub('(.*)</div>', '\\1</bad>', s)",1
get the maximum of 'salary' and 'bonus' values in a dictionary,"(max(d, key=lambda x: (d[x]['salary'], d[x]['bonus'])))",2
split string 'fooxyzbar' based on case-insensitive matching using string 'XYZ',"re.compile('XYZ', re.IGNORECASE).split('fooxyzbar')",1
get list of sums of neighboring integers in string `example`,"[sum(map(int, s)) for s in example.split()]",1
Get all the keys from dictionary `y` whose value is `1`,[i for i in y if y[i] == 1],2
converting byte string `c` in unicode string,c.decode('unicode_escape'),1
"add key ""item3"" and value ""3"" to dictionary `default_data `",default_data['item3'] = 3,2
"add key ""item3"" and value ""3"" to dictionary `default_data `","default_data.update({'item3': 3, })",2
"add key value pairs 'item4' , 4 and 'item5' , 5 to dictionary `default_data`","default_data.update({'item4': 4, 'item5': 5, })",2
Get the first and last 3 elements of list `l`,l[:3] + l[-3:],0
"For each index `x` from 0 to 3, append the element at index `x` of list `b` to the list at index `x` of list a.",[a[x].append(b[x]) for x in range(3)],0
add character '@' after word 'get' in string `text`,"text = re.sub('(\\bget\\b)', '\\1@', text)",1
"update dictionary `b`, overwriting values where keys are identical, with contents of dictionary `d`",b.update(d),2
add unicode string '1' to UTF-8 decoded string '\xc2\xa3',('\xc2\xa3' + '1'),1
lower-case the string obtained by replacing the occurrences of regex pattern '(?<=[a-z])([A-Z])' in string `s` with replacement '-\\1',"re.sub('(?<=[a-z])([A-Z])', '-\\1', s).lower()",1
format an integer `num` using string formatting,"""""""{0:.3g}"""""".format(num)",1
convert radians 1 to degrees,math.cos(math.radians(1)),3
count the number of integers in list `a`,"sum(isinstance(x, int) for x in a)",0
replacing  '\u200b' with '*' in a string  using regular expressions,"'used\u200b'.replace('\u200b', '*')",1
sum of squares values in a list `l`,sum(i * i for i in l),0
calculate the sum of the squares of each value in list `l`,"sum(map(lambda x: x * x, l))",0
Create a dictionary `d` from list `iterable`,"d = dict(((key, value) for (key, value) in iterable))",0
Create a dictionary `d` from list `iterable`,"d = {key: value for (key, value) in iterable}",0
Create a dictionary `d` from list of key value pairs `iterable`,"d = {k: v for (k, v) in iterable}",0
return a random word from a word list 'words',(random.choice(words)),0
Find a max value of the key `count` in a nested dictionary `d`,"max(d, key=lambda x: d[x]['count'])",2
"get list of string elements in string `data` delimited by commas, putting `0` in place of empty strings","[(int(x) if x else 0) for x in data.split(',')]",1
"split string `s` into a list of strings based on ',' then replace empty strings with zero",""""""","""""".join(x or '0' for x in s.split(','))",1
check if date `yourdatetime` is equal to today's date,yourdatetime.date() == datetime.datetime.today().date(),4
print bold text 'Hello',('\x1b[1m' + 'Hello'),1
remove 20 symbols in front of '.' in string 'unique12345678901234567890.mkv',"re.sub('.{20}(.mkv)', '\\1', 'unique12345678901234567890.mkv')",1
"Define a list with string values `['a', 'c', 'b', 'obj']`","['a', 'c', 'b', 'obj']",1
substitute multiple whitespace with single whitespace in string `mystring`,""""""" """""".join(mystring.split())",1
print a floating point number 2.345e-67 without any truncation,('{:.100f}'.format(2.345e-67)),3
Check if key 'key1' in `dict`,('key1' in dict),2
Check if key 'a' in `d`,('a' in d),2
Check if key 'c' in `d`,('c' in d),2
"insert ' ' between every three digit before '.' and replace ',' with '.' in 12345678.46","format(12345678.46, ',').replace(',', ' ').replace('.', ',')",3
reverse sort items in default dictionary `cityPopulation` by the third item in each key's list of values,"sorted(iter(cityPopulation.items()), key=lambda k_v: k_v[1][2], reverse=True)",2
Sort dictionary `u` in ascending order based on second elements of its values,"sorted(list(u.items()), key=lambda v: v[1])",2
reverse sort dictionary `d` based on its values,"sorted(list(d.items()), key=lambda k_v: k_v[1], reverse=True)",2
sorting a defaultdict `d` by value,"sorted(list(d.items()), key=lambda k_v: k_v[1])",2
divide the values with same keys of two dictionary `d1` and `d2`,{k: (float(d2[k]) / d1[k]) for k in d2},2
divide the value for each key `k` in dict `d2` by the value for the same key `k` in dict `d1`,{k: (d2[k] / d1[k]) for k in list(d1.keys()) & d2},2
divide values associated with each key in dictionary `d1` from values associated with the same key in dictionary `d2`,"dict((k, float(d2[k]) / d1[k]) for k in d2)",2
remove a key 'key' from a dictionary `my_dict`,"my_dict.pop('key', None)",2
"remove white spaces from the end of string ""    xyz     ""","""""""    xyz     """""".rstrip()",1
sort list `lst` in descending order based on the second item of each tuple in it,"lst.sort(key=lambda x: x[2], reverse=True)",0
How to find all occurrences of an element in a list?,"indices = [i for i, x in enumerate(my_list) if x == 'whatever']",0
count the number of trailing question marks in string `my_text`,len(my_text) - len(my_text.rstrip('?')),1
switch positions of each two adjacent characters in string `a`,"(''.join(''.join(i) for i in zip(a2, a1)) + a[-1] if len(a) % 2 else '')",1
Convert list of booleans `walls` into a hex string,"hex(int(''.join([str(int(b)) for b in walls]), 2))",0
convert the sum of list `walls` into a hex presentation,"hex(sum(b << i for i, b in enumerate(reversed(walls))))",0
print a string using multiple strings `name` and `score`,"('Total score for %s is %s  ' % (name, score))",1
"find all digits in string '6,7)' and put them to a list","re.findall('\\d|\\d,\\d\\)', '6,7)')",1
Write a regex statement to match 'lol' to 'lolllll'.,"re.sub('l+', 'l', 'lollll')",1
decode escape sequences in string `myString`,myString.decode('string_escape'),1
Find all keys from a dictionary `d` whose values are `desired_value`,"[k for k, v in d.items() if v == desired_value]",2
create a set containing all keys' names from list of dictionaries `LoD`,{k for d in LoD for k in list(d.keys())},0
create a set containing all keys names from list of dictionaries `LoD`,set([i for s in [list(d.keys()) for d in LoD] for i in s]),0
extract all keys from a list of dictionaries `LoD`,[i for s in [list(d.keys()) for d in LoD] for i in s],0
unpack keys and values of a dictionary `d` into two lists,"keys, values = zip(*list(d.items()))",2
convert a string `s` containing a decimal to an integer,"num(Decimal(s))",1
Convert a string to integer with decimal in Python,"num(s.split('.')[0])",1
make a row-by-row copy `y` of array `x`,y = [row[:] for row in x],0
get a list of items from the list `some_list` that contain string 'abc',matching = [s for s in some_list if 'abc' in s],0
How do I create a LIST of unique random numbers?,"random.sample(list(range(100)), 10)",3
split a string `s` on last delimiter,"s.rsplit(',', 1)",1
Check if all elements in list `lst` are tupples of long and int,"all(isinstance(x, int) for x in lst)",0
check if all elements in a list 'lst' are the same type 'int',"all(isinstance(x, int) for x in lst)",0
strip a string `line` of all carriage returns and newlines,line.strip(),1
convert Date object `dateobject` into a DateTime object,"datetime.datetime.combine(dateobject, datetime.time())",4
check if any item from list `b` is in list `a`,(any(x in a for x in b)),0
Remove anything in parenthesis from string `item` with a regex,"item = re.sub(' ?\\([^)]+\\)', '', item)",1
Remove word characters in parenthesis from string `item` with a regex,"item = re.sub(' ?\\(\\w+\\)', '', item)",1
Remove all data inside parenthesis in string `item`,"item = re.sub(' \\(\\w+\\)', '', item)",1
check if any elements in one list `list1` are in another list `list2`,len(set(list1).intersection(list2)) > 0,0
convert hex string `s` to decimal,"i = int(s, 16)",1
"convert hex string ""0xff"" to decimal","int('0xff', 16)",1
"convert hex string ""FFFF"" to decimal","int('FFFF', 16)",1
convert hex string '0xdeadbeef' to decimal,ast.literal_eval('0xdeadbeef'),1
convert hex string 'deadbeef' to decimal,"int('deadbeef', 16)",1
replace non-ascii chars from a unicode string u'm\xfasica',"unicodedata.normalize('NFKD', 'm\xfasica').encode('ascii', 'ignore')",1
print a character that has unicode value `\u25b2`,('\u25b2'.encode('utf-8')),1
"Create a dictionary from string `s` separated by `-` and `,`","dict((k, int(v)) for k, v in (e.split(' - ') for e in s.split(',')))",1
right align string `mystring` with a width of 7,"""""""{:>7s}"""""".format(mystring)",1
"remove all values within one list `[2, 3, 7]` from another list `a`","[x for x in a if x not in [2, 3, 7]]",0
"remove the punctuation '!', '.', ':' from a string `asking`","out = ''.join(c for c in asking if c not in ('!', '.', ':'))",1
empty a list `lst`,del lst[:],0
empty a list `lst`,del lst1[:],0
empty a list `lst`,lst[:] = [],0
empty a list `alist`,alist[:] = [],0
create a list containing the subtraction of each item in list `L` from the item prior to it,"[(y - x) for x, y in zip(L, L[1:])]",0
"convert a list of characters `['a', 'b', 'c', 'd']` into a string",""""""""""""".join(['a', 'b', 'c', 'd'])",0
sort dictionary `d` by key,od = collections.OrderedDict(sorted(d.items())),2
sort a dictionary `d` by key,"OrderedDict(sorted(list(d.items()), key=(lambda t: t[0])))",2
replace everything that is not an alphabet or a digit with '' in 's'.,"re.sub('[\\W_]+', '', s)",1
create a list of aggregation of each element from list `l2` to all elements of list `l1`,[(x + y) for x in l2 for y in l1],0
convert string `x'  to dictionary splitted by `=` using list comprehension,2([x.split('=') for x in s.split()]),1
remove index 2 element from a list `my_list`,my_list.pop(2),0
"Delete character ""M"" from a string `s` using python","s = s.replace('M', '')",1
How to delete a character from a string using python?,"newstr = oldstr.replace('M', '')",1
get the sum of the products of each pair of corresponding elements in lists `a` and `b`,"sum(x * y for x, y in zip(a, b))",0
sum the products of each two elements at the same index of list `a` and list `b`,"sum(x * y for x, y in list(zip(a, b)))",0
sum the product of each two items at the same index of list `a` and list `b`,"sum(i * j for i, j in zip(a, b))",0
sum the product of elements of two lists named `a` and `b`,"sum(x * y for x, y in list(zip(a, b)))",0
Add 1 to each integer value in list `my_list`,new_list = [(x + 1) for x in my_list],0
get a list of all items in list `j` with values greater than `5`,[x for x in j if x >= 5],0
split strings in list `l` on the first occurring tab `\t` and enter only the first resulting substring in a new list,"[i.split('\t', 1)[0] for i in l]",0
Split each string in list `myList` on the tab character,myList = [i.split('\t')[0] for i in myList],0
Sum numbers in a list 'your_list',sum(your_list),0
Compose keys from dictionary `d1` with respective values in dictionary `d2`,"result = {k: d2.get(v) for k, v in list(d1.items())}",2
add one day and three hours to the present time from datetime.now(),"datetime.datetime.now() + datetime.timedelta(days=1, hours=3)",4
Convert binary string to list of integers using Python,"[int(s[i:i + 3], 2) for i in range(0, len(s), 3)]",1
switch keys and values in a dictionary `my_dict`,"dict((v, k) for k, v in my_dict.items())",2
sort a list `L` by number after second '.',"(sorted(L, key=lambda x: int(x.split('.')[2])))",0
"Check if the value of the key ""name"" is ""Test"" in a list of dictionaries `label`",any(d['name'] == 'Test' for d in label),0
"remove all instances of [1, 1] from list `a`","a[:] = [x for x in a if x != [1, 1]]",0
"remove all instances of `[1, 1]` from a list `a`","[x for x in a if x != [1, 1]]",0
"convert a list 'a' to a dictionary where each even element represents the key to the dictionary, and the following odd element is the value","b = {a[i]: a[i + 1] for i in range(0, len(a), 2)}",0
check whether elements in list `a` appear only once,len(set(a)) == len(a),0
How to sort a dictionary in python by value when the value is a list and I want to sort it by the first index of that list,"sorted(list(data.items()), key=lambda x: x[1][0])",2
randomly switch letters' cases in string `s`,""""""""""""".join(x.upper() if random.randint(0, 1) else x for x in s)",1
"replace single quote character in string ""didn't"" with empty string ''","""""""didn't"""""".replace(""'"", '')",1
remove all whitespace in a string `sentence`,"sentence.replace(' ', '')",1
remove all whitespace in a string `sentence`,"pattern = re.compile('\\s+')\nsentence = re.sub(pattern, '', sentence)",1
remove whitespace in string `sentence` from beginning and end,sentence.strip(),1
remove all whitespaces in string `sentence`,"sentence = re.sub('\\s+', '', sentence, flags=re.UNICODE)",1
remove all whitespaces in a string `sentence`,sentence = ''.join(sentence.split()),1
sum all the values in a counter variable `my_counter`,sum(my_counter.values()),2
create list `levels` containing 3 empty dictionaries,"levels = [{}, {}, {}]",2
find the sums of length 7 subsets of a list `daily`,"weekly = [sum(daily[x:x + 7]) for x in range(0, len(daily), 7)]",0
Delete an element `key` from a dictionary `d`,del d[key],2
Delete an element 0 from a dictionary `a`,{i: a[i] for i in a if (i != 0)},2
"Delete an element ""hello"" from a dictionary `lol`",lol.pop('hello'),2
Delete an element with key `key` dictionary `r`,del r[key],2
lowercase string values with key 'content' in a list of dictionaries `messages`,[{'content': x['content'].lower()} for x in messages],0
convert a list `my_list` into string with values separated by spaces,""""""" """""".join(my_list)",0
replace each occurrence of the pattern '(http://\\S+|\\S*[^\\w\\s]\\S*)' within `a` with '',"re.sub('(http://\\S+|\\S*[^\\w\\s]\\S*)', '', a)",1
check if int `n` is palindrome,1(n) == str(n)[::-1],3
remove all characters from string `stri` upto character 'I',"re.sub('.*I', 'I', stri)",1
"parse a comma-separated string number '1,100,100' into int","int('1,100,100'.replace(',', ''))",1
check if all boolean values in a python dictionary `dict` are true,all(dict.values()),2
reverse a list `L`,L[::(-1)],0
reverse a list `array`,reversed(array),0
reverse a list `L`,L.reverse(),0
reverse a list `array`,"list(reversed(array))",0
get first element of each tuple in list `A`,[tup[0] for tup in A],0
replace character 'a' with character 'e' and character 's' with character '3' in file `contents`,"newcontents = contents.replace('a', 'e').replace('s', '3')",1
"From a list of strings `my_list`, remove the values that contains numbers.",[x for x in my_list if not any(c.isdigit() for c in x)],0
sort list `lst` based on each element's number of occurrences,"sorted(lst, key=lambda x: (-1 * c[x], lst.index(x)))",0
Get the value with the maximum length in each column in array `foo`,[max(len(str(x)) for x in line) for line in zip(*foo)],0
"convert js date object 'Tue, 22 Nov 2011 06:00:00 GMT' to python datetime","datetime.strptime('Tue, 22 Nov 2011 06:00:00 GMT', '%a, %d %b %Y %H:%M:%S %Z')",4
Convert a binary value '1633837924' to string,"struct.pack('<I', 1633837924)",3
append string `foo` to list `list`,"list.append('foo')",0
insert string `foo` at position `0` of list `list`,"list.insert(0, 'foo')",0
convert keys in dictionary `thedict` into case insensitive,theset = set(k.lower() for k in thedict),2
pad 'dog' up to a length of 5 characters with 'x',"""""""{s:{c}^{n}}"""""".format(s='dog', n=5, c='x')",1
Convert list of dictionaries `L` into a flat dictionary,"dict(pair for d in L for pair in list(d.items()))",0
merge a list of dictionaries in list `L` into a single dict,"{k: v for d in L for k, v in list(d.items())}",0
"run the code contained in string ""print('Hello')""","eval(""('Hello')"")",1
"creating a list of dictionaries [{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]","[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]",2
Creating a list of dictionaries in python,"[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]",2
get all possible combination of items from 2-dimensional list `a`,"list(itertools.product(*a))",0
"create list `done` containing permutations of each element in list `[a, b, c, d]` with variable `x` as tuples","done = [(el, x) for el in [a, b, c, d]]",0
Replace `;` with `:` in a string `line`,"line = line.replace(';', ':')",1
change a string of integers `x` separated by spaces to a list of int,"x = map(int, x.split())",1
convert a string of integers `x` separated by spaces to a list of integers,x = [int(i) for i in x.split()],1
Python / Remove special character from string,"re.sub('[^a-zA-Z0-9-_*.]', '', my_string)",1
replace backslashes in string `result` with empty string '',"result = result.replace('\\', '')",1
remove backslashes from string `result`,"result.replace('\\', '')",1
convert datetime object to date object in python,datetime.datetime.now().date(),4
How do I convert datetime to date (in Python)?,datetime.datetime.now().date(),4
How can I split and parse a string in Python?,"""""""2.7.0_bf4fda703454"""""".split('_')",1
move dictionaries in list `lst` to the end of the list if value of key 'language' in each dictionary is not equal to 'en',"sorted(lst, key=lambda x: x['language'] != 'en')",0
check if all values of a dictionary `your_dict` are zero `0`,all(value == 0 for value in list(your_dict.values())),2
Convert a datetime object `dt` to microtime,time.mktime(dt.timetuple()) + dt.microsecond / 1000000.0,4
sort a list of lists `L` by index 2 of the inner list,"sorted(L, key=itemgetter(2))",0
sort a list of lists `l` by index 2 of the inner list,l.sort(key=(lambda x: x[2])),0
sort list `l` by index 2 of the item,"sorted(l, key=(lambda x: x[2]))",0
"sort a list of lists `list_to_sort` by indices 2,1,3 of the inner list","sorted_list = sorted(list_to_sort, key=itemgetter(2, 0, 1))",0
"match a sharp, followed by letters (including accent characters) in string `str1` using a regex","hashtags = re.findall('#(\\w+)', str1, re.UNICODE)",1
get the next value greatest to `2` from a list of numbers `num_list`,min([x for x in num_list if x > 2]),0
sort list `lst` with positives coming before negatives with values sorted respectively,"sorted(lst, key=lambda x: (x < 0, x))",0
get the date 6 months from today,six_months = (date.today() + relativedelta(months=(+ 6))),4
get the date 1 month from today,"(date(2010, 12, 31) + relativedelta(months=(+ 1)))",4
get the date 2 months from today,"(date(2010, 12, 31) + relativedelta(months=(+ 2)))",4
calculate the date six months from the current date,((datetime.date.today() + datetime.timedelta(((6 * 365) / 12))).isoformat()),4
get a list of keys of dictionary `things` sorted by the value of nested dictionary key 'weight',"sorted(list(things.keys()), key=lambda x: things[x]['weight'], reverse=True)",2
list comprehension that produces integers between 11 and 19,[i for i in range(100) if i > 10 if i < 20],3
Get only digits from a string `strs`,""""""""""""".join([c for c in strs if c.isdigit()])",1
split a string `yas` based on tab '\t',"re.split('\\t+', yas.rstrip('\t'))",1
"remove trailing newline in string ""test string\n""",'test string\n'.rstrip(),1
remove trailing newline in string 'test string \n\n','test string \n\n'.rstrip('\n'),1
remove newline in string `s`,s.strip(),1
remove newline in string `s` on the right side,s.rstrip(),1
remove newline in string `s` on the left side,s.lstrip(),1
remove newline in string 'Mac EOL\r','Mac EOL\r'.rstrip('\r\n'),1
remove newline in string 'Windows EOL\r\n' on the right side,'Windows EOL\r\n'.rstrip('\r\n'),1
remove newline in string 'Unix EOL\n' on the right side,'Unix EOL\n'.rstrip('\r\n'),1
"remove newline in string ""Hello\n\n\n"" on the right side",'Hello\n\n\n'.rstrip('\n'),1
split string `text` into chunks of 16 characters each,"re.findall('.{,36}\\b', text)",1
Get a list comprehension in list of lists `X`,[[X[i][j] for j in range(len(X[i]))] for i in range(len(X))],0
convert unicode string '\xd0\xbc\xd0\xb0\xd1\x80\xd0\xba\xd0\xb0' to byte string,'\xd0\xbc\xd0\xb0\xd1\x80\xd0\xba\xd0\xb0'.encode('latin-1'),1
convert integer `i` to string,1(i),3
convert integer `a` to string,a.__str__(),3
convert integer `a` to string,1(a),3
sort list of lists `L` by the second item in each list,L.sort(key=operator.itemgetter(1)),0
python sum of ascii values of all characters in a string `string`,"sum(map(ord, string))",1
apply itertools.product to elements of a list of lists `arrays`,"list(itertools.product(*arrays))",0
print number `value` as thousands separators,"'{:,}'.format(value)",3
get the value at index 1 for each tuple in the list of tuples `L`,[x[1] for x in L],0
"split unicode string ""раз два три"" into words",'\u0440\u0430\u0437 \u0434\u0432\u0430 \u0442\u0440\u0438'.split(),1
get a dictionary in list `dicts` which key 'ratio' is closer to a global value 1.77672955975,"min(dicts, key=lambda x: (abs(1.77672955975 - x['ratio']), -x['pixels']))",0
Find all words containing letters between A and Z in string `formula`,"re.findall('\\b[A-Z]', formula)",1
"create a list `matrix` containing 5 lists, each of 5 items  all set to 0",matrix = [([0] * 5) for i in range(5)],0
Getting today's date in YYYY-MM-DD,datetime.datetime.today().strftime('%Y-%m-%d'),4
sort a dictionary `d` by length of its values and print as string,"(' '.join(sorted(d, key=lambda k: len(d[k]), reverse=True)))",2
"convert tuple elements in list `[(1,0),(3,4),(5,6),]` into lists","map(list, zip(*[(1, 2), (3, 4), (5, 6)]))",0
convert list of tuples to multiple lists in Python,"map(list, zip(*[(1, 2), (3, 4), (5, 6)]))",0
convert list of tuples to multiple lists in Python,"zip(*[(1, 2), (3, 4), (5, 6)])",0
"create a list of tuples which contains number 9 and the number before it, for each occurrence of 9 in the list 'myList'","[(x, y) for x, y in zip(myList, myList[1:]) if y == 9]",0
"Convert a list `['A:1', 'B:2', 'C:3', 'D:4']` to dictionary","dict(map(lambda s: s.split(':'), ['A:1', 'B:2', 'C:3', 'D:4']))",0
check if string `the_string` contains any upper or lower-case ASCII letters,"re.search('[a-zA-Z]', the_string)",1
remove all non-numeric characters from string `sdkjh987978asd098as0980a98sd `,"re.sub('[^0-9]', '', 'sdkjh987978asd098as0980a98sd')",1
get items from list `a` that don't appear in list `b`,[y for y in a if y not in b],0
Unzip a list of tuples `l` into a list of lists,zip(*l),0
"combine two lists `[1, 2, 3, 4]` and `['a', 'b', 'c', 'd']` into a dictionary","dict(zip([1, 2, 3, 4], ['a', 'b', 'c', 'd']))",0
"combine two lists `[1, 2, 3, 4]` and `['a', 'b', 'c', 'd']` into a dictionary","dict(zip([1, 2, 3, 4], ['a', 'b', 'c', 'd']))",0
replace carriage return in string `somestring` with empty string '',"somestring.replace('\\r', '')",1
"parse string ""Jun 1 2005  1:33PM"" into datetime by format ""%b %d %Y %I:%M%p""","datetime.strptime('Jun 1 2005  1:33PM', '%b %d %Y %I:%M%p')",1
remove dictionary from list `a` if the value associated with its key 'link' is in list `b`,a = [x for x in a if x['link'] not in b],0
create a list of integers between 2 values `11` and `17`,"list(range(11, 17))",3
Find the list in a list of lists `alkaline_earth_values` with the max value of the second element.,"max(alkaline_earth_values, key=lambda x: x[1])",0
remove leading and trailing zeros in the string 'your_Strip',your_string.strip('0'),1
generate a list of all unique pairs of integers in `range(9)`,"list(permutations(list(range(9)), 2))",3
