text,code,type,label,num-vars
divide the value for each key `k` in dict `d2` by the value for the same key `k` in dict `d1`,{k: (d2[k] / d1[k]) for k in list(d1.keys()) & d2},<int-dict>,11,2
divide values associated with each key in dictionary `d1` from values associated with the same key in dictionary `d2`,"dict((k, float(d2[k]) / d1[k]) for k in d2)",<int-dict>,11,2
remove a key 'key' from a dictionary `my_dict`,"my_dict.pop('key', None)",<dict>,12,1
"remove white spaces from the end of string ""    xyz     ""","""""""    xyz     """""".rstrip()",<str>,2,0
sort list `lst` in descending order based on the second item of each tuple in it,"lst.sort(key=lambda x: x[2], reverse=True)",<tuple-list>,19,1
How to find all occurrences of an element in a list?,"indices = [i for i, x in enumerate(my_list) if x == 'whatever']",<list>,6,1
count the number of trailing question marks in string `my_text`,len(my_text) - len(my_text.rstrip('?')),<str>,2,1
switch positions of each two adjacent characters in string `a`,"(''.join(''.join(i) for i in zip(a2, a1)) + a[-1] if len(a) % 2 else '')",<str>,2,1
Convert list of booleans `walls` into a hex string,"hex(int(''.join([str(int(b)) for b in walls]), 2))",<bool-list>,10,1
convert the sum of list `walls` into a hex presentation,"hex(sum(b << i for i, b in enumerate(reversed(walls))))",<bool-list>,10,1
print a string using multiple strings `name` and `score`,"('Total score for %s is %s  ' % (name, score))",<str>,2,2
"find all digits in string '6,7)' and put them to a list","re.findall('\\d|\\d,\\d\\)', '6,7)')",<int-str>,0,0
Write a regex statement to match 'lol' to 'lolllll'.,"re.sub('l+', 'l', 'lollll')",<str>,2,0
decode escape sequences in string `myString`,myString.decode('string_escape'),<int-str>,0,1
Find all keys from a dictionary `d` whose values are `desired_value`,"[k for k, v in d.items() if v == desired_value]",<dict>,12,1
create a set containing all keys' names from dictionary `LoD`,{k for d in LoD for k in list(d.keys())},<dict-list>,1,1
create a set containing all keys names from list of dictionaries `LoD`,set([i for s in [list(d.keys()) for d in LoD] for i in s]),<dict-list>,1,1
extract all keys from a list of dictionaries `LoD`,[i for s in [list(d.keys()) for d in LoD] for i in s],<dict-list>,1,1
unpack keys and values of a dictionary `d` into two lists,"keys, values = zip(*list(d.items()))",<dict>,12,1
convert a string `s` containing a decimal to an integer,int(Decimal(s)),<int-str>,0,1
Convert a string to integer with decimal in Python,int(s.split('.')[0]),<int-str>,0,1
make a row-by-row copy `y` of array `x`,y = [row[:] for row in x],<nested-list>,8,1
get a list of items from the list `some_list` that contain string 'abc',matching = [s for s in some_list if 'abc' in s],<str-list>,7,1
How do I create a LIST of unique random numbers?,"random.sample(list(range(100)), 10)",<int>,9,0
split a string `s` on last delimiter,"s.rsplit(',', 1)",<str>,2,1
Check if all elements in list `lst` are tupples of long and int,"all(isinstance(x, int) for x in lst)",<list>,6,1
check if all elements in a list 'lst' are the same type 'int',"all(isinstance(x, int) for x in lst)",<list>,6,1
strip a string `line` of all carriage returns and newlines,line.strip(),<str>,2,1
convert Date object `dateobject` into a DateTime object,"datetime.datetime.combine(dateobject, datetime.time())",<datetime>,3,1
check if any item from list `b` is in list `a`,(any(x in a for x in b)),<list>,6,2
Remove anything in parenthesis from string `item` with a regex,"item = re.sub(' ?\\([^)]+\\)', '', item)",<str>,2,1
Remove word characters in parenthesis from string `item` with a regex,"item = re.sub(' ?\\(\\w+\\)', '', item)",<str>,2,1
Remove all data inside parenthesis in string `item`,"item = re.sub(' \\(\\w+\\)', '', item)",<str>,2,1
check if any elements in one list `list1` are in another list `list2`,len(set(list1).intersection(list2)) > 0,<list>,6,2
convert hex string `s` to decimal,"i = int(s, 16)",<int-str>,0,1
"convert hex string ""0xff"" to decimal","int('0xff', 16)",<int-str>,0,0
"convert hex string ""FFFF"" to decimal","int('FFFF', 16)",<int-str>,0,0
convert hex string '0xdeadbeef' to decimal,ast.literal_eval('0xdeadbeef'),<int-str>,0,0
convert hex string 'deadbeef' to decimal,"int('deadbeef', 16)",<int-str>,0,0
replace non-ascii chars from a unicode string u'm\xfasica',"unicodedata.normalize('NFKD', 'm\xfasica').encode('ascii', 'ignore')",<str>,2,0
print a character that has unicode value `\u25b2`,('\u25b2'.encode('utf-8')),<str>,2,0
"Create a dictionary from string `s` separated by `-` and `,`","dict((k, int(v)) for k, v in (e.split(' - ') for e in s.split(',')))",<str>,2,1
"check if all elements in a tuple `(1, 6)` are in another `(1, 2, 3, 4, 5)`","all(i in (1, 2, 3, 4, 5) for i in (1, 6))",<tuple>,17,0
right align string `mystring` with a width of 7,"""""""{:>7s}"""""".format(mystring)",<str>,2,1
"remove all values within one list `[2, 3, 7]` from another list `a`","[x for x in a if x not in [2, 3, 7]]",<list>,6,1
"remove the punctuation '!', '.', ':' from a string `asking`","out = ''.join(c for c in asking if c not in ('!', '.', ':'))",<str>,2,1
empty a list `lst`,del lst[:],<list>,6,1
empty a list `lst`,del lst1[:],<list>,6,1
empty a list `lst`,lst[:] = [],<list>,6,1
empty a list `alist`,alist[:] = [],<list>,6,1
create a list containing the subtraction of each item in list `L` from the item prior to it,"[(y - x) for x, y in zip(L, L[1:])]",<int-list>,20,1
"convert a list of characters `['a', 'b', 'c', 'd']` into a string",""""""""""""".join(['a', 'b', 'c', 'd'])",<str-list>,7,0
sort dictionary `d` by key,od = collections.OrderedDict(sorted(d.items())),<int-dict>,11,1
sort a dictionary `d` by key,"OrderedDict(sorted(list(d.items()), key=(lambda t: t[0])))",<int-dict>,11,1
replace everything that is not an alphabet or a digit with '' in 's'.,"re.sub('[\\W_]+', '', s)",<str>,2,1
create a list of aggregation of each element from list `l2` to all elements of list `l1`,[(x + y) for x in l2 for y in l1],<int-list>,20,2
convert string `x'  to dictionary splitted by `=` using list comprehension,dict([x.split('=') for x in s.split()]),<str>,2,1
remove index 2 element from a list `my_list`,my_list.pop(2),<list>,6,1
"Delete character ""M"" from a string `s` using python","s = s.replace('M', '')",<str>,2,1
How to delete a character from a string using python?,"newstr = oldstr.replace('M', '')",<str>,2,1
get the sum of the products of each pair of corresponding elements in lists `a` and `b`,"sum(x * y for x, y in zip(a, b))",<int-list>,20,2
sum the products of each two elements at the same index of list `a` and list `b`,"sum(x * y for x, y in list(zip(a, b)))",<int-list>,20,2
sum the product of each two items at the same index of list `a` and list `b`,"sum(i * j for i, j in zip(a, b))",<int-list>,20,2
sum the product of elements of two lists named `a` and `b`,"sum(x * y for x, y in list(zip(a, b)))",<int-list>,20,2
Add 1 to each integer value in list `my_list`,new_list = [(x + 1) for x in my_list],<int-list>,20,1
get a list of all items in list `j` with values greater than `5`,[x for x in j if x >= 5],<int-list>,20,1
split strings in list `l` on the first occurring tab `\t` and enter only the first resulting substring in a new list,"[i.split('\t', 1)[0] for i in l]",<str-list>,7,1
Split each string in list `myList` on the tab character,myList = [i.split('\t')[0] for i in myList],<str-list>,7,1
Sum numbers in a list 'your_list',sum(your_list),<int-list>,20,1
Compose keys from dictionary `d1` with respective values in dictionary `d2`,"result = {k: d2.get(v) for k, v in list(d1.items())}",<dict>,12,2
add one day and three hours to the present time from datetime.now(),"datetime.datetime.now() + datetime.timedelta(days=1, hours=3)",<datetime>,3,0
Convert binary string to list of integers using Python,"[int(s[i:i + 3], 2) for i in range(0, len(s), 3)]",<int-str>,0,1
switch keys and values in a dictionary `my_dict`,"dict((v, k) for k, v in my_dict.items())",<dict>,12,1
sort a list `L` by number after second '.',"(sorted(L, key=lambda x: int(x.split('.')[2])))",<str-list>,7,1
"Check if the value of the key ""name"" is ""Test"" in a list of dictionaries `label`",any(d['name'] == 'Test' for d in label),<dict-list>,1,1
"remove all instances of [1, 1] from list `a`","a[:] = [x for x in a if x != [1, 1]]",<nested-list>,8,1
"remove all instances of `[1, 1]` from a list `a`","[x for x in a if x != [1, 1]]",<nested-list>,8,1
"convert a list 'a' to a dictionary where each even element represents the key to the dictionary, and the following odd element is the value","b = {a[i]: a[i + 1] for i in range(0, len(a), 2)}",<list>,6,1
check whether elements in list `a` appear only once,len(set(a)) == len(a),<list>,6,1
How to sort a dictionary in python by value when the value is a list and I want to sort it by the first index of that list,"sorted(list(data.items()), key=lambda x: x[1][0])",<list-dict>,5,1
randomly switch letters' cases in string `s`,""""""""""""".join(x.upper() if random.randint(0, 1) else x for x in s)",<str>,2,1
"replace single quote character in string ""didn't"" with empty string ''","""""""didn't"""""".replace(""'"", '')",<str>,2,0
remove all whitespace in a string `sentence`,"sentence.replace(' ', '')",<str>,2,1
remove all whitespace in a string `sentence`,"pattern = re.compile('\\s+')\nsentence = re.sub(pattern, '', sentence)",<str>,2,1
remove whitespace in string `sentence` from beginning and end,sentence.strip(),<str>,2,1
remove all whitespaces in string `sentence`,"sentence = re.sub('\\s+', '', sentence, flags=re.UNICODE)",<str>,2,1
remove all whitespaces in a string `sentence`,sentence = ''.join(sentence.split()),<str>,2,1
sum all the values in a counter variable `my_counter`,sum(my_counter.values()),<int-dict>,11,1
create list `levels` containing 3 empty dictionaries,"levels = [{},0, {},0, {},0]",<dict>,12,0
find the sums of length 7 subsets of a list `daily`,"weekly = [sum(daily[x:x + 7]) for x in range(0, len(daily), 7)]",<int-list>,20,1
Delete an element `key` from a dictionary `d`,del d[key],<dict>,12,1
Delete an element 0 from a dictionary `a`,{i: a[i] for i in a if (i != 0)},<dict>,12,1
"Delete an element ""hello"" from a dictionary `lol`",lol.pop('hello'),<dict>,12,1
Delete an element with key `key` dictionary `r`,del r[key],<dict>,12,1
lowercase string values with key 'content' in a list of dictionaries `messages`,[{'content': x['content'].lower()} for x in messages],<dict-list>,1,1
convert a list `my_list` into string with values separated by spaces,""""""" """""".join(my_list)",<list>,6,1
replace each occurrence of the pattern '(http://\\S+|\\S*[^\\w\\s]\\S*)' within `a` with '',"re.sub('(http://\\S+|\\S*[^\\w\\s]\\S*)', '', a)",<str>,2,1
check if int `n` is palindrome,str(n) == str(n)[::-1],<int>,9,1
remove all characters from string `stri` upto character 'I',"re.sub('.*I', 'I', stri)",<str>,2,1
"parse a comma-separated string number '1,000,000' into int","int('1,000,000'.replace(',', ''))",<int-str>,0,0
check if all boolean values in a python dictionary `dict` are true,all(dict.values()),<dict>,12,1
reverse a list `L`,L[::(-1)],<list>,6,1
reverse a list `array`,reversed(array),<list>,6,1
reverse a list `L`,L.reverse(),<list>,6,1
reverse a list `array`,list(reversed(array)),<list>,6,1
get first element of each tuple in list `A`,[tup[0] for tup in A],<tuple-list>,19,1
replace character 'a' with character 'e' and character 's' with character '3' in file `contents`,"newcontents = contents.replace('a', 'e').replace('s', '3')",<str>,2,1
"Find the greatest number in set `(1, 2, 3)`","(max(1, 2, 3))",<set>,16,0
"From a list of strings `my_list`, remove the values that contains numbers.",[x for x in my_list if not any(c.isdigit() for c in x)],<str-list>,7,1
sort list `lst` based on each element's number of occurrences,"sorted(lst, key=lambda x: (-1 * c[x], lst.index(x)))",<list>,6,1
Get the value with the maximum length in each column in array `foo`,[max(len(str(x)) for x in line) for line in zip(*foo)],<nested-list>,8,1
"append values `[3, 4]` to a set `a`","a.update([3, 4])",<set>,16,1
"convert js date object 'Tue, 22 Nov 2011 06:00:00 GMT' to python datetime","datetime.strptime('Tue, 22 Nov 2011 06:00:00 GMT', '%a, %d %b %Y %H:%M:%S %Z')",<datetime-str>,18,0
Convert a binary value '1633837924' to string,"struct.pack('<I', 1633837924)",<int>,9,0
append string `foo` to list `list`,list.append('foo'),<str-list>,7,1
insert string `foo` at position `0` of list `list`,"list.insert(0, 'foo')",<str-list>,7,1
convert keys in dictionary `thedict` into case insensitive,theset = set(k.lower() for k in thedict),<str-dict>,13,1
pad 'dog' up to a length of 5 characters with 'x',"""""""{s:{c}^{n}}"""""".format(s='dog', n=5, c='x')",<str>,2,0
check if type of variable `s` is a string,"isinstance(s, str)",<any>,15,1
check if type of a variable `s` is string,"isinstance(s, str)",<any>,15,1
Convert list of dictionaries `L` into a flat dictionary,dict(pair for d in L for pair in list(d.items())),<dict-list>,1,1
merge a list of dictionaries in list `L` into a single dict,"{k: v for d in L for k, v in list(d.items())}",<dict-list>,1,1
"run the code contained in string ""print('Hello')""","eval(""('Hello')"")",<str>,2,0
"creating a list of dictionaries [{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]","[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]",<dict-list>,1,0
Creating a list of dictionaries in python,"[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]",<dict-list>,1,0
get all possible combination of items from 2-dimensional list `a`,list(itertools.product(*a)),<nested-list>,8,1
"create list `done` containing permutations of each element in list `[a, b, c, d]` with variable `x` as tuples","done = [(el, x) for el in [a, b, c, d]]",<str-list>,7,0
Replace `;` with `:` in a string `line`,"line = line.replace(';', ':')",<str>,2,1
change a string of integers `x` separated by spaces to a list of int,"x = map(int, x.split())",<int-str>,0,1
convert a string of integers `x` separated by spaces to a list of integers,x = [int(i) for i in x.split()],<int-str>,0,1
Python / Remove special character from string,"re.sub('[^a-zA-Z0-9-_*.]', '', my_string)",<str>,2,1
replace backslashes in string `result` with empty string '',"result = result.replace('\\', '')",<str>,2,1
remove backslashes from string `result`,"result.replace('\\', '')",<str>,2,1
convert datetime object to date object in python,datetime.datetime.now().date(),<datetime>,3,0
How do I convert datetime to date (in Python)?,datetime.datetime.now().date(),<datetime>,3,0
How can I split and parse a string in Python?,"""""""2.7.0_bf4fda703454"""""".split('_')",<str>,2,0
move dictionaries in list `lst` to the end of the list if value of key 'language' in each dictionary is not equal to 'en',"sorted(lst, key=lambda x: x['language'] != 'en')",<dict-list>,1,1
check if all values of a dictionary `your_dict` are zero `0`,all(value == 0 for value in list(your_dict.values())),<int-dict>,11,1
Convert a datetime object `dt` to microtime,time.mktime(dt.timetuple()) + dt.microsecond / 1000000.0,<datetime>,3,1
sort a list of lists `L` by index 2 of the inner list,"sorted(L, key=itemgetter(2))",<nested-list>,8,1
sort a list of lists `l` by index 2 of the inner list,l.sort(key=(lambda x: x[2])),<nested-list>,8,1
sort list `l` by index 2 of the item,"sorted(l, key=(lambda x: x[2]))",<nested-list>,8,1
"sort a list of lists `list_to_sort` by indices 2,0,1 of the inner list","sorted_list = sorted(list_to_sort, key=itemgetter(2, 0, 1))",<nested-list>,8,1
"match a sharp, followed by letters (including accent characters) in string `str1` using a regex","hashtags = re.findall('#(\\w+)', str1, re.UNICODE)",<str>,2,1
get the next value greatest to `2` from a list of numbers `num_list`,min([x for x in num_list if x > 2]),<int-list>,20,1
sort list `lst` with positives coming before negatives with values sorted respectively,"sorted(lst, key=lambda x: (x < 0, x))",<int-list>,20,1
get the date 6 months from today,six_months = (date.today() + relativedelta(months=(+ 6))),<datetime>,3,0
get the date 1 month from today,"(date(2010, 12, 31) + relativedelta(months=(+ 1)))",<datetime>,3,0
get the date 2 months from today,"(date(2010, 12, 31) + relativedelta(months=(+ 2)))",<datetime>,3,0
calculate the date six months from the current date,((datetime.date.today() + datetime.timedelta(((6 * 365) / 12))).isoformat()),<datetime>,3,0
